Year,FuelType,FlowType,Value (PJ),Scaled Log Transformation:,,,,,,,,,,,,,,
2012,Natural Gas,Import,193.6,22.89,,,,,,,,,,,,,,
2012,Coal,Export,8532.4,39.31,,,,,,,,,,,,,,
2012,Oil and LPG,Export,701.8,28.47,,,,,,,,,,,,,,
2012,Refined Products,Export,47.2,16.83,,,,,,,,,,,,,,
2012,Natural Gas,Export,1041.4,30.18,,,,,,,,,,,,,,
2013,Coal,Import,1.9,4.62,,,,,,,,,,,,,,
2013,Oil and LPG,Import,1166.0,30.67,,,,,,,,,,,,,,
2013,Refined Products,Import,863.3,29.37,,,,,,,,,,,,,,
2013,Natural Gas,Import,232.7,23.69,,,,,,,,,,,,,,
2013,Coal,Export,9507.0,39.78,,,,,,,,,,,,,,
2013,Oil and LPG,Export,647.6,28.12,,,,,,,,,,,,,,
2013,Refined Products,Export,35.1,15.57,,,,,,,,,,,,,,
2013,Natural Gas,Export,1298.1,31.14,,,,,,,,,,,,,,
2014,Coal,Import,3.7,6.72,,,,,,,,,,,,,,
2014,Oil and LPG,Import,1089.9,30.38,,,,,,,,,,,,,,
2014,Refined Products,Import,911.8,29.60,,,,,,,,,,,,,,
2014,Natural Gas,Import,233.8,23.71,,,,,,,,,,,,,,
2014,Coal,Export,10604.9,40.26,,,,,,,,,,,,,,
2014,Oil and LPG,Export,614.6,27.89,,,,,,,,,,,,,,
2014,Refined Products,Export,24.7,14.10,,,,,,,,,,,,,,
2014,Natural Gas,Export,1283.9,31.09,,,,,,,,,,,,,,
2015,Coal,Import,6.4,8.69,,,,,,,,,,,,,,
2015,Oil and LPG,Import,964.0,29.85,,,,,,,,,,,,,,
2015,Refined Products,Import,1014.7,30.07,,,,,,,,,,,,,,
2015,Natural Gas,Import,207.7,23.20,,,,,,,,,,,,,,
2015,Coal,Export,11085.6,40.45,,,,,,,,,,,,,,
2015,Oil and LPG,Export,617.7,27.91,,,,,,,,,,,,,,
2015,Refined Products,Export,26.6,14.40,,,,,,,,,,,,,,
2015,Natural Gas,Export,1382.5,31.41,,,,,,,,,,,,,,
2016,Coal,Import,6.8,8.92,,,,,,,,,,,,,,
2016,Oil and LPG,Import,787.5,28.97,,,,,,,,,,,,,,
2016,Refined Products,Import,1192.3,30.77,,,,,,,,,,,,,,
2016,Natural Gas,Import,226.4,23.57,,,,,,,,,,,,,,
2016,Coal,Export,11021.5,40.42,,,,,,,,,,,,,,
2016,Oil and LPG,Export,567.7,27.55,,,,,,,,,,,,,,
2016,Refined Products,Export,24.4,14.04,,,,,,,,,,,,,,
2016,Natural Gas,Export,2059.4,33.14,,,,,,,,,,,,,,
2017,Coal,Import,7.6,9.34,,,,,,,,,,,,,,
2017,Oil and LPG,Import,813.8,29.11,,,,,,,,,,,,,,
2017,Refined Products,Import,1253.6,30.99,,,,,,,,,,,,,,
2017,Natural Gas,Import,206.5,23.17,,,,,,,,,,,,,,
2017,Coal,Export,10705.9,40.30,,,,,,,,,,,,,,
2017,Oil and LPG,Export,534.0,27.28,,,,,,,,,,,,,,
2017,Refined Products,Export,43.2,16.46,,,,,,,,,,,,,,
2017,Natural Gas,Export,2911.1,34.64,,,,,,,,,,,,,,
2018,Coal,Import,12.1,11.17,,,,,,,,,,,,,,
2018,Oil and LPG,Import,887.9,29.49,,,,,,,,,,,,,,
2018,Refined Products,Import,1333.6,31.25,,,,,,,,,,,,,,
2018,Natural Gas,Import,186.5,22.73,,,,,,,,,,,,,,
2018,Coal,Export,10780.3,40.33,,,,,,,,,,,,,,
2018,Oil and LPG,Export,544.0,27.36,,,,,,,,,,,,,,
2018,Refined Products,Export,46.4,16.76,,,,,,,,,,,,,,
2018,Natural Gas,Export,3441.3,35.37,,,,,,,,,,,,,,
2019,Coal,Import,17.2,12.60,,,,,,,,,,,,,,
2019,Oil and LPG,Import,862.1,29.36,,,,,,,,,,,,,,
2019,Refined Products,Import,1326.8,31.23,,,,,,,,,,,,,,
2019,Natural Gas,Import,202.0,23.07,,,,,,,,,,,,,,
2019,Coal,Export,11154.1,40.47,,,,,,,,,,,,,,
2019,Oil and LPG,Export,625.6,27.97,,,,,,,,,,,,,,
2019,Refined Products,Export,47.3,16.84,,,,,,,,,,,,,,
2019,Natural Gas,Export,4167.3,36.20,,,,,,,,,,,,,,
2020,Coal,Import,19.2,13.05,,,,,,,,,,,,,,
2020,Oil and LPG,Import,715.5,28.55,,,,,,,,,,,,,,
2020,Refined Products,Import,1328.4,31.24,,,,,,,,,,,,,,
2020,Natural Gas,Import,179.7,22.57,,,,,,,,,,,,,,
2020,Coal,Export,11088.2,40.45,,,,,,,,,,,,,,
2020,Oil and LPG,Export,766.9,28.85,,,,,,,,,,,,,,
2020,Refined Products,Export,42.2,16.35,,,,,,,,,,,,,,
2020,Natural Gas,Export,4413.5,36.45,,,,,,,,,,,,,,
2021,Coal,Import,12.5,11.30,,,,,,,,,,,,,,
2021,Oil and LPG,Import,563.9,27.52,,,,,,,,,,,,,,
2021,Refined Products,Import,1330.0,31.24,,,,,,,,,,,,,,
2021,Natural Gas,Import,207.6,23.19,,,,,,,,,,,,,,
2021,Coal,Export,10346.3,40.15,,,,,,,,,,,,,,
2021,Oil and LPG,Export,721.9,28.59,,,,,,,,,,,,,,
2021,Refined Products,Export,38.0,15.91,,,,,,,,,,,,,,
2021,Natural Gas,Export,4314.4,36.35,,,,,,,,,,,,,,
2022,Coal,Import,15.3,12.12,,,,,,,,,,,,,,
2022,Oil and LPG,Import,407.1,26.11,,,,,,,,,,,,,,
2022,Refined Products,Import,1554.6,31.92,,,,,,,,,,,,,,
2022,Natural Gas,Import,152.1,21.85,,,,,,,,,,,,,,
2022,Coal,Export,10195.6,40.08,,,,,,,,,,,,,,
2022,Oil and LPG,Export,772.0,28.88,,,,,,,,,,,,,,
2022,Refined Products,Export,18.8,12.97,,,,,,,,,,,,,,
2022,Natural Gas,Export,4636.8,36.66,,,,,,,,,,,,,,
2023,Coal,Import,16.7,12.48,,,,,,,,,,,,,,
2023,Oil and LPG,Import,382.7,25.84,,,,,,,,,,,,,,
2023,Refined Products,Import,1825.8,32.62,,,,,,,,,,,,,,
2023,Natural Gas,Import,48.1,16.91,,,,,,,,,,,,,,
2023,Coal,Export,9625.9,39.83,,,,,,,,,,,,,,
2023,Oil and LPG,Export,724.5,28.61,,,,,,,,,,,,,,
2023,Refined Products,Export,12.6,11.34,,,,,,,,,,,,,,
2023,Natural Gas,Export,4540.9,36.57,,,,,,,,,,,,,,
