year,Sector,Value,,,,,,,,,,,,,,,
2017,Mining,666.3,,,,,,,,,,,,,,,
2017,Residential,453.6,,,,,,,,,,,,,,,
2017,Commercial,314.6,,,,,,,,,,,,,,,
2017,Other,224.8,,,,,,,,,,,,,,,
2018,Transport,1734.1,,,,,,,,,,,,,,,
2018,Electricity.Supply,1601.7,,,,,,,,,,,,,,,
2018,Manufacturing,1101.8,,,,,,,,,,,,,,,
2018,Mining,729.7,,,,,,,,,,,,,,,
2018,Residential,449,,,,,,,,,,,,,,,
2018,Commercial,319.2,,,,,,,,,,,,,,,
2018,Other,232.6,,,,,,,,,,,,,,,
2019,Transport,1746.6,,,,,,,,,,,,,,,
2019,Electricity.Supply,1566.4,,,,,,,,,,,,,,,
2019,Manufacturing,1081,,,,,,,,,,,,,,,
2019,Mining,812.4,,,,,,,,,,,,,,,
2019,Residential,457,,,,,,,,,,,,,,,
2019,Commercial,310.7,,,,,,,,,,,,,,,
2019,Other,214.2,,,,,,,,,,,,,,,
2020,Transport,1589.9,,,,,,,,,,,,,,,
2020,Electricity.Supply,1523.2,,,,,,,,,,,,,,,
2020,Manufacturing,1055,,,,,,,,,,,,,,,
2020,Mining,853.6,,,,,,,,,,,,,,,
2020,Residential,474.5,,,,,,,,,,,,,,,
2020,Commercial,298,,,,,,,,,,,,,,,
2020,Other,206.9,,,,,,,,,,,,,,,
2021,Transport,1418.3,,,,,,,,,,,,,,,
2021,Electricity.Supply,1455,,,,,,,,,,,,,,,
2021,Manufacturing,1042.9,,,,,,,,,,,,,,,
2021,Mining,850.4,,,,,,,,,,,,,,,
2021,Residential,484.1,,,,,,,,,,,,,,,
2021,Commercial,288.1,,,,,,,,,,,,,,,
2021,Other,230.5,,,,,,,,,,,,,,,
2022,Transport,1447.8,,,,,,,,,,,,,,,
2022,Electricity.Supply,1405.9,,,,,,,,,,,,,,,
2022,Manufacturing,1028.9,,,,,,,,,,,,,,,
2022,Mining,865.9,,,,,,,,,,,,,,,
2022,Residential,497.3,,,,,,,,,,,,,,,
2022,Commercial,296.1,,,,,,,,,,,,,,,
2022,Other,223.2,,,,,,,,,,,,,,,
2023,Transport,1622.1,,,,,,,,,,,,,,,
2023,Electricity.Supply,1378.3,,,,,,,,,,,,,,,
2023,Manufacturing,996.3,,,,,,,,,,,,,,,
2023,Mining,883.1,,,,,,,,,,,,,,,
2023,Residential,484.2,,,,,,,,,,,,,,,
2023,Commercial,308.1,,,,,,,,,,,,,,,
2023,Other,210.2,,,,,,,,,,,,,,,
